type	AUGLS01_trimmed	AUGLS05_trimmed	AUGLS16_trimmed	SEPLS01_trimmed	SEPLS05_trimmed	SEPLS16_trimmed
aminoglycoside	0.00063253251219918	0.0005436367703476904	0.00038924505896034765	1.8449640416027987e-05	0.0015795120332563314	0.0016752929489208899
bacitracin	0.02590171251984907	0.018974253873426883	0.012726061480849548	0.01794042925029391	0.028011705817343625	0.02450457381029683
beta_lactam	0.022715194988138898	0.028353313093646762	0.030465138983865256	0.047776888566613274	0.026181905396845576	0.032228267568305255
chloramphenicol	0.011295224823619368	0.008188657113061338	0.012229926982946946	0.01998633371241098	0.009389360748708168	0.010824926520274846
florfenicol	0.0	6.500256148747034e-05	0.0	0.0	0.0	0.0
fosfomycin	0.0	0.00014836742847987582	0.0	0.0	0.0	0.0
macrolide-lincosamide-streptogramin	0.005094797922138145	0.003774987459525135	0.005529001985605692	0.0026064253671162505	0.005768194513182891	0.005475039084770713
multidrug	0.014845974573538376	0.012741475536832183	0.012500198911999164	0.01965826654929813	0.01835666138305092	0.016061974620089726
mupirocin	0.007102896068396355	0.006405553009698617	0.005095329797717556	0.004209465957398905	0.00453097046625641	0.004526173758858049
novobiocin	0.0008706589346494694	0.0009150047376372074	0.0009938053741465305	0.0007913067879643626	0.0009713858182141651	0.0007241151862992502
other_peptide_antibiotics	0.0006232831507445215	0.0004301624719831895	0.0010975239148782144	0.0016793882980714768	0.00043640268587652123	0.000462898944516084
pleuromutilin_tiamulin	0.0	8.105257666956178e-05	0.00016209471249513385	0.0	4.518273376316107e-05	0.00034722615562946245
polymyxin	0.010868030442843122	0.009132242671454195	0.010435210357117334	0.011400073565048215	0.011033138275444674	0.009120945224500078
puromycin	0.0	0.0	0.0	0.0	0.00011269977769747819	0.0
quinolone	0.0	0.0	0.0	0.0	0.0	0.00017813072591939816
rifamycin	0.0	0.0	0.0002640104135800932	0.0005262332270408946	0.0003668432390133801	0.0
sulfonamide	0.0063161425812649635	0.004280460383737627	0.00027729456893821667	0.0031729288395731265	0.0043426627621079164	0.004179426779890182
tetracycline	0.009393252005742102	0.009974128991648037	0.007258628698633637	0.015495101738491826	0.008756061776069109	0.006828246642591761
trimethoprim	0.0006493835712851516	0.00025857018920308203	0.0004538905123955891	0.0020871226680787107	0.00017798426430716335	0.00014568929606830592
